"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Price,Scraped At,Website,Phone,Social Medias,Facebook,Instagram,Twitter,Emails
ypid:YN8196x445301084115288396,Ganesh Indian Restaurant,"Apartment Nguyen Thien Thuat, 60 Đường Nguyễn Thiện Thuật Nha Trang 57127",https://www.bing.com/th?id=OLC.b/37rJtDaNVDqA480x360&pid=Local,https://www.bing.com/maps?cp=12.23444938659668%7E109.1945571899414&lvl=17.0&q=Ganesh%20Indian%20Restaurant%20%2C%20Apartment%20Nguyen%20Thien%20Thuat%2C%2060%20%C4%90%C6%B0%E1%BB%9Dng%20Nguy%E1%BB%85n%20Thi%E1%BB%87n%20Thu%E1%BA%ADt%20Nha%20Trang%2057127,12.23444939,109.1945572,4.5,Tripadvisor (1723) - $$,,Closed · Opens 11 AM,,2025-04-03T03:26:28.035Z,https://ganesh.vn/,0258 3526 776,-- No Data --,-- No Data --,-- No Data --,-- No Data --,info@ganesh.vn
ypid:YN8196x12721508870350659821,Mix Greek Restaurant,77 HUNG VUONG Nha Trang 65000 Khánh Hòa,https://www.bing.com/th?id=OLC.oHDwDhWszbb6eA480x360&pid=Local,https://www.bing.com/maps?cp=12.234830856323242%7E109.19573211669922&lvl=17.0&q=Mix%20Greek%20Restaurant%20%2C%2077%20HUNG%20VUONG%20Nha%20Trang%2065000%20Kh%C3%A1nh%20H%C3%B2a,12.23483086,109.1957321,4.5,Tripadvisor (2103) - $$,,Closed · Opens 11 AM,,2025-04-03T03:26:28.035Z,https://www.facebook.com/mixrestaurant.nhatrang/,0359 459 197,"{""facebook"":""https://www.facebook.com/mixrestaurant.nhatrang/""}",https://www.facebook.com/mixrestaurant.nhatrang/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x2103480305599207156,Feast Restaurant Nha Trang,"Hotel & Spa, Sheraton, 26-28 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa 650000, Việt Nam",https://www.bing.com/th?id=OLC.OLixT3l8aKQ0cg480x360&pid=Local,https://www.bing.com/maps?cp=12.246439933776855%7E109.19576263427734&lvl=17.0&q=Feast%20Restaurant%20Nha%20Trang%20%2C%20Hotel%20%26%20Spa%2C%20Sheraton%2C%2026-28%20Tr%E1%BA%A7n%20Ph%C3%BA%2C%20L%E1%BB%99c%20Th%E1%BB%8D%2C%20Nha%20Trang%2C%20Kh%C3%A1nh%20H%C3%B2a%20650000%2C%20Vi%E1%BB%87t%20Nam,12.24643993,109.1957626,5,Tripadvisor (1453) - $$,,Open · Closes 11 AM,,2025-04-03T03:26:28.036Z,https://www.feastnhatrang.com/,0258 3880 000,-- No Data --,-- No Data --,-- No Data --,-- No Data --,dining.nhatrang@sheraton.com
ypid:YN8196x272537249583827012,Kimchi Restaurant,"82 Huynh Thuc Khang, Tan Lap Ward Nha Trang 650000 Provincia De Khanh Hoa",https://www.bing.com/th?id=OLC.KWVTi3qXfd5BEw480x360&pid=Local,https://www.bing.com/maps?cp=12.242124557495117%7E109.19171142578125&lvl=17.0&q=Kimchi%20Restaurant%20%2C%2082%20Huynh%20Thuc%20Khang%2C%20Tan%20Lap%20Ward%20Nha%20Trang%20650000%20Provincia%20De%20Khanh%20Hoa,12.24212456,109.1917114,,,,Open · Closes 9:30 PM,,2025-04-03T03:26:28.036Z,https://www.facebook.com/kimchi.restaurant.nhatrang/,0258 3512 357,"{""facebook"":""https://www.facebook.com/kimchi.restaurant.nhatrang/""}",https://www.facebook.com/kimchi.restaurant.nhatrang/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x9777300764042320445,Livin Limited,77 Bach Dang Tan Lap Nha Trang 650000 Khanh Hoa Province,https://www.bing.com/th?id=OLC.sExJWIRO3bWDjQ480x360&pid=Local,https://www.bing.com/maps?cp=12.240514755249023%7E109.19136047363281&lvl=17.0&q=Livin%20Limited%20%2C%2077%20Bach%20Dang%20Tan%20Lap%20Nha%20Trang%20650000%20Khanh%20Hoa%20Province,12.24051476,109.1913605,5,Tripadvisor (863) - $$,,Closed · Opens 11 AM,,2025-04-03T03:26:28.037Z,https://www.livinbbq.com/,091 863 83 49,"{""facebook"":""https://www.facebook.com/livinnhatrang/posts/english-below%f0%9d%97%a7%f0%9d%97%ae%cc%82%cc%81%f0%9d%98%81-%f0%9d%97%a1%f0%9d%97%b6%f0%9d%97%b2%cc%82%f0%9d%97%bb-%f0%9d%97%9b%f0%9d%97%bc%f0%9d%97%ae%cc%80%f0%9d%97%bb%f0%9d%97%b5-%f0%9d%97%a7%f0%9d%97%bf%f0%9d%97%ae%cc%81%f0%9d%97%bb%f0%9d%97%b4-%f0%9d%97%a1%f0%9d%97%ae%cc%86%f0%9d%97%ba-%f0%9d%97%a0%f0%9d%97%bc%cc%9b%cc%81%f0%9d%97%b6-%f0%9d%97%9f%f0%9d%97%bc%cc%a3%cc%82%f0%9d%97%b0-%f0%9d%97%a7%f0%9d%97%bf%f0%9d%97%ae%cc%80%f0%9d%97%bbch%c6%a1i-l%e1%bb%9bn-b%e1%ba%b1ng-ti%e1%bb%87c-/4592794667436462/"",""instagram"":""https://www.instagram.com/livinnhatrang""}",https://www.facebook.com/livinnhatrang/posts/english-below%f0%9d%97%a7%f0%9d%97%ae%cc%82%cc%81%f0%9d%98%81-%f0%9d%97%a1%f0%9d%97%b6%f0%9d%97%b2%cc%82%f0%9d%97%bb-%f0%9d%97%9b%f0%9d%97%bc%f0%9d%97%ae%cc%80%f0%9d%97%bb%f0%9d%97%b5-%f0%9d%97%a7%f0%9d%97%bf%f0%9d%97%ae%cc%81%f0%9d%97%bb%f0%9d%97%b4-%f0%9d%97%a1%f0%9d%97%ae%cc%86%f0%9d%97%ba-%f0%9d%97%a0%f0%9d%97%bc%cc%9b%cc%81%f0%9d%97%b6-%f0%9d%97%9f%f0%9d%97%bc%cc%a3%cc%82%f0%9d%97%b0-%f0%9d%97%a7%f0%9d%97%bf%f0%9d%97%ae%cc%80%f0%9d%97%bbch%c6%a1i-l%e1%bb%9bn-b%e1%ba%b1ng-ti%e1%bb%87c-/4592794667436462/,https://www.instagram.com/livinnhatrang,-- No Data --,hello@livinbbq.com
ypid:YN8196x18187642344489658,German Restaurant Haus Bremen,24/9c Hung Vuong Nha Trang 650000 Khánh Hòa,https://www.bing.com/th?id=OLC.LR8CC929PYyJRw480x360&pid=Local,https://www.bing.com/maps?cp=12.237726211547852%7E109.19525909423828&lvl=17.0&q=German%20Restaurant%20Haus%20Bremen%20%2C%2024%2F9c%20Hung%20Vuong%20Nha%20Trang%20650000%20Kh%C3%A1nh%20H%C3%B2a,12.23772621,109.1952591,4.5,Tripadvisor (406) - $$,,Closed · Opens noon,,2025-04-03T03:26:28.037Z,https://www.facebook.com/Osningstrasse/,0767 335 156,"{""facebook"":""https://www.facebook.com/osningstrasse/""}",https://www.facebook.com/osningstrasse/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x7074683395217671883,Little Italy-City Pizza,10/4 Nguyen Thien Thuat Nha Trang 650000 Khanh Hoa Province,https://www.bing.com/th?id=OLC.InW7lfHWeyYKbg480x360&pid=Local,https://www.bing.com/maps?cp=12.242286682128906%7E109.19325256347656&lvl=17.0&q=Little%20Italy-City%20Pizza%20%2C%2010%2F4%20Nguyen%20Thien%20Thuat%20Nha%20Trang%20650000%20Khanh%20Hoa%20Province,12.24228668,109.1932526,4,Tripadvisor (119) - $$,,Opens in 4 mins,,2025-04-03T03:26:28.038Z,https://www.foody.vn/khanh-hoa/city-pizza-little-italy,0583 521 893,"{""facebook"":""https://www.facebook.com/citypizza.littleitaly/"",""instagram"":""https://www.instagram.com/foodysaigon"",""youtube"":""https://www.youtube.com/c/foodyvn""}",https://www.facebook.com/citypizza.littleitaly/,https://www.instagram.com/foodysaigon,-- No Data --,support@shopeefood.vn
ypid:YN8196x10833420702808136332,Làng Ngon Vietnamese Cuisine,83 Đường Nguyễn Thị Minh Khai Tân Lập 57127 Khánh Hòa,https://www.bing.com/th?id=OLC.Sm0rCjFC/sQNMw480x360&pid=Local,https://www.bing.com/maps?cp=12.237798690795898%7E109.19072723388672&lvl=17.0&q=L%C3%A0ng%20Ngon%20Vietnamese%20Cuisine%20%2C%2083%20%C4%90%C6%B0%E1%BB%9Dng%20Nguy%E1%BB%85n%20Th%E1%BB%8B%20Minh%20Khai%20T%C3%A2n%20L%E1%BA%ADp%2057127%20Kh%C3%A1nh%20H%C3%B2a,12.23779869,109.1907272,4.5,Tripadvisor (145) - $$,,Opens in 4 mins,,2025-04-03T03:26:28.038Z,https://langngon.com/,091 350 43 19,"{""facebook"":""https://www.facebook.com/langngon.nhatrang"",""instagram"":""https://www.instagram.com/langngon.nhatrang/""}",https://www.facebook.com/langngon.nhatrang,https://www.instagram.com/langngon.nhatrang/,-- No Data --,-- No Data --
ypid:YN8196x14865873905338421305,Alpaca Homestyle Cafe,10/1B Nguyễn Thiện Thuật Nha Trang 650000 Khánh Hòa,https://www.bing.com/th?id=OLC.q6h/VNukPM+wVQ480x360&pid=Local,https://www.bing.com/maps?cp=12.24111270904541%7E109.19324493408203&lvl=17.0&q=Alpaca%20Homestyle%20Cafe%20%2C%2010%2F1B%20Nguy%E1%BB%85n%20Thi%E1%BB%87n%20Thu%E1%BA%ADt%20Nha%20Trang%20650000%20Kh%C3%A1nh%20H%C3%B2a,12.24111271,109.1932449,5,Tripadvisor (2017) - $$,,Open · Closes 9:30 PM,,2025-04-03T03:26:28.039Z,http://www.facebook.com/alpacanhatrang/,0899 371 121,"{""facebook"":""https://www.facebook.com/alpacanhatrang/""}",https://www.facebook.com/alpacanhatrang/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x13243575497977494567,Cactus Mexican Food,176 Hung Vuong Nha Trang 650000 Khánh Hòa,https://www.bing.com/th?id=OLC.QJcWUPHZOQ23ag480x360&pid=Local,https://www.bing.com/maps?cp=12.234386444091797%7E109.19584655761719&lvl=17.0&q=Cactus%20Mexican%20Food%20%2C%20176%20Hung%20Vuong%20Nha%20Trang%20650000%20Kh%C3%A1nh%20H%C3%B2a,12.23438644,109.1958466,4.5,Tripadvisor (1166) - $$,,Closed · Opens noon,,2025-04-03T03:26:28.039Z,https://www.facebook.com/people/Cactus-Bogosov-Mexican-Food/100047352893688/,090 580 69 05,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x4167585629703276435,Mitami Japanese Restaurant,"72 Nguyen Thi Minh Khai Nha Trang, Khánh Hòa Province, Vietnam 652235 Khánh Hòa Province",https://www.bing.com/th?id=OLC.IlqAqmEVRZb4Ig480x360&pid=Local,https://www.bing.com/maps?cp=12.237935066223145%7E109.19117736816406&lvl=17.0&q=Mitami%20Japanese%20Restaurant%20%2C%2072%20Nguyen%20Thi%20Minh%20Khai%20Nha%20Trang%2C%20Kh%C3%A1nh%20H%C3%B2a%20Province%2C%20Vietnam%20652235%20Kh%C3%A1nh%20H%C3%B2a%20Province,12.23793507,109.1911774,5,Tripadvisor (128) - $$,,Closed · Opens 11 AM,,2025-04-03T03:26:28.039Z,https://www.facebook.com/mitaminhatrang/,0258 3513 179,"{""facebook"":""https://www.facebook.com/130129350946111/"",""instagram"":""https://www.instagram.com/mitaminhatrang/""}",https://www.facebook.com/130129350946111/,https://www.instagram.com/mitaminhatrang/,-- No Data --,-- No Data --
ypid:YN8196x13207584982723967651,Lac Canh Restaurant,"44 D Nguyen Binh Khiem, Cai River area Nha Trang",https://www.bing.com/th?id=OLC.5LgieOFGxT37fQ480x360&pid=Local,https://www.bing.com/maps?cp=12.256776809692383%7E109.19458770751953&lvl=17.0&q=Lac%20Canh%20Restaurant%20%2C%2044%20D%20Nguyen%20Binh%20Khiem%2C%20Cai%20River%20area%20Nha%20Trang,12.25677681,109.1945877,4,Tripadvisor (757) - $$,,,,2025-04-03T03:26:28.040Z,,,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x6866961822477020603,Ana Beach House Bar & Restaurant,66 Đường Trần Phú Nha Trang 57106,https://www.bing.com/th?id=OLC.OCkKwaO8m8bPxg480x360&pid=Local,https://www.bing.com/maps?cp=12.235191345214844%7E109.197265625&lvl=17.0&q=Ana%20Beach%20House%20Bar%20%26%20Restaurant%20%2C%2066%20%C4%90%C6%B0%E1%BB%9Dng%20Tr%E1%BA%A7n%20Ph%C3%BA%20Nha%20Trang%2057106,12.23519135,109.1972656,4.5,Tripadvisor (182) - $$,,Open · Closes 10 PM,,2025-04-03T03:26:28.040Z,https://www.facebook.com/anabeachhouse/,0258 2244 809,"{""facebook"":""https://www.facebook.com/anabeachhouse/""}",https://www.facebook.com/anabeachhouse/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x12973184843738947299,Yashoda Indian Restaurant,"119 Nguyen Thien Thuat Street, Opposite of The Pizza Company Nha Trang 650000",https://www.bing.com/th?id=OLC.dP1X8KdTogXm0A480x360&pid=Local,https://www.bing.com/maps?cp=12.237736701965332%7E109.1937484741211&lvl=17.0&q=Yashoda%20Indian%20Restaurant%20%2C%20119%20Nguyen%20Thien%20Thuat%20Street%2C%20Opposite%20of%20The%20Pizza%20Company%20Nha%20Trang%20650000,12.2377367,109.1937485,4.5,Tripadvisor (517) - $$,Indian restaurant,Closed · Opens 11 AM,,2025-04-03T03:26:28.041Z,,,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x2892796910705947058,Nguyen dat,"146/2 Hung Vuong Street, Loc Tho Ward Nha Trang 650000 Khanh Hoa Province",https://www.bing.com/th?id=OLC.bIu6D3B1p1p/FA480x360&pid=Local,https://www.bing.com/maps?cp=12.234835624694824%7E109.19573211669922&lvl=17.0&q=Nguyen%20dat%20%2C%20146%2F2%20Hung%20Vuong%20Street%2C%20Loc%20Tho%20Ward%20Nha%20Trang%20650000%20Khanh%20Hoa%20Province,12.23483562,109.1957321,4.5,Tripadvisor (49) - $$,,Open · Closes 10 PM,,2025-04-03T03:26:28.041Z,https://www.facebook.com/nhahangnguyendat,090 542 98 76,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x5555173541796703439,Cookbook Cafe,"32-34 Tran Phu Street, Intercontinental Nha Trang Hotel Nha Trang 650000",https://www.bing.com/th?id=OLC.HwgNLUgM70uUFA480x360&pid=Local,https://www.bing.com/maps?cp=12.244254112243652%7E109.19638061523438&lvl=17.0&q=Cookbook%20Cafe%20%2C%2032-34%20Tran%20Phu%20Street%2C%20Intercontinental%20Nha%20Trang%20Hotel%20Nha%20Trang%20650000,12.24425411,109.1963806,4.5,Tripadvisor (333),,,,2025-04-03T03:26:28.042Z,,0258 3887 777,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x4662824754307663667,La Velvet,60b Hùng Vương Nha Trang I-650000 Việt Nam,https://www.bing.com/th?id=OLC.a68QSR4L1QWRtw480x360&pid=Local,https://www.bing.com/maps?cp=12.239130020141602%7E109.19510650634766&lvl=17.0&q=La%20Velvet%20%2C%2060b%20H%C3%B9ng%20V%C6%B0%C6%A1ng%20Nha%20Trang%20I-650000%20Vi%E1%BB%87t%20Nam,12.23913002,109.1951065,4.5,Tripadvisor (496) - $$,,Closed · Opens 1:30 PM,,2025-04-03T03:26:28.042Z,,091 654 28 55,"{""facebook"":""https://www.facebook.com/lavelvet.nhatrang/""}",https://www.facebook.com/lavelvet.nhatrang/,-- No Data --,-- No Data --,-- No Data --
ypid:YN8196x10817261945022840453,Nem Nuong Dang Van Quyen,16a Lan Ong Nha Trang Trang Khanh Hoa Province,https://www.bing.com/th?id=OLC.4kWpoH9LFTunfQ480x360&pid=Local,https://www.bing.com/maps?cp=12.2539701461792%7E109.19392395019531&lvl=17.0&q=Nem%20Nuong%20Dang%20Van%20Quyen%20%2C%2016a%20Lan%20Ong%20Nha%20Trang%20Trang%20Khanh%20Hoa%20Province,12.25397015,109.193924,4,Tripadvisor (62) - $$,,,,2025-04-03T03:26:28.042Z,https://nemdangvanquyen.vn/,0583 826 737,"{""facebook"":""https://www.facebook.com/261973897177641/""}",https://www.facebook.com/261973897177641/,-- No Data --,-- No Data --,sales@nemdangvanquyen.com.vn
ypid:YN8196x3644032180493379260,Sushi Tokyo Sachi 48 Yersin,48 Yersin Thành phố Nha Trang,https://www.bing.com/th?id=OLC.w6VNC6VrK4DPgw480x360&pid=Local,https://www.bing.com/maps?cp=12.249483108520508%7E109.1878662109375&lvl=17.0&q=Sushi%20Tokyo%20Sachi%2048%20Yersin%20%2C%2048%20Yersin%20Th%C3%A0nh%20ph%E1%BB%91%20Nha%20Trang,12.24948311,109.1878662,4.5,Tripadvisor (59) - $$,,Opens in 4 mins,,2025-04-03T03:26:31.847Z,https://sushitokyosachi.vn/,092 421 48 88,-- No Data --,-- No Data --,-- No Data --,-- No Data --,-- No Data --
ypid:YN8195x4533452342066382319,Far East Rock Cafe,86 Nguyen Thien Thuat Tan Lap Nha Trang 650000 Khanh Hoa Province,https://www.bing.com/th?id=OLC.K14/PL0YBwc9og480x360&pid=Local,https://www.bing.com/maps?cp=12.233981132507324%7E109.1946792602539&lvl=17.0&q=Far%20East%20Rock%20Cafe%20%2C%2086%20Nguyen%20Thien%20Thuat%20Tan%20Lap%20Nha%20Trang%20650000%20Khanh%20Hoa%20Province,12.23398113,109.1946793,,,,,,2025-04-03T03:26:31.847Z,https://www.facebook.com/people/Far-East-Rock-Cafe-1/100063770261805/,0258 3523 376,"{""facebook"":""https://www.facebook.com/people/far-east-rock-cafe-1/100063770261805/""}",https://www.facebook.com/people/far-east-rock-cafe-1/100063770261805/,-- No Data --,-- No Data --,-- No Data --
